"parametername","tsdatetime","initdate","areaid","tsvalue_ensemble_mean"
"length_transmission_season",2020-04-30,"20200301","alto paraguay",1
"length_transmission_season",2020-04-30,"20200301","alto parana",0
"length_transmission_season",2020-04-30,"20200301","amambay",1
"length_transmission_season",2020-04-30,"20200301","asuncion",1
"length_transmission_season",2020-04-30,"20200301","boqueron",1
"length_transmission_season",2020-04-30,"20200301","caaguazu",1
"length_transmission_season",2020-04-30,"20200301","caazapa",1
"length_transmission_season",2020-04-30,"20200301","canindeyu",0
"length_transmission_season",2020-04-30,"20200301","central",1
"length_transmission_season",2020-04-30,"20200301","concepcion",1
"length_transmission_season",2020-04-30,"20200301","cordillera",1
"length_transmission_season",2020-04-30,"20200301","guaira",1
"length_transmission_season",2020-04-30,"20200301","itapua",1
"length_transmission_season",2020-04-30,"20200301","misiones",1
"length_transmission_season",2020-04-30,"20200301","neembucu",1
"length_transmission_season",2020-04-30,"20200301","paraguari",1
"length_transmission_season",2020-04-30,"20200301","presidente hayes",1
"length_transmission_season",2020-04-30,"20200301","san pedro",1
"length_transmission_season",2020-05-31,"20200301","alto paraguay",1
"length_transmission_season",2020-05-31,"20200301","alto parana",1
"length_transmission_season",2020-05-31,"20200301","amambay",1
"length_transmission_season",2020-05-31,"20200301","asuncion",1
"length_transmission_season",2020-05-31,"20200301","boqueron",1
"length_transmission_season",2020-05-31,"20200301","caaguazu",1
"length_transmission_season",2020-05-31,"20200301","caazapa",1
"length_transmission_season",2020-05-31,"20200301","canindeyu",1
"length_transmission_season",2020-05-31,"20200301","central",1
"length_transmission_season",2020-05-31,"20200301","concepcion",1
"length_transmission_season",2020-05-31,"20200301","cordillera",1
"length_transmission_season",2020-05-31,"20200301","guaira",1
"length_transmission_season",2020-05-31,"20200301","itapua",1
"length_transmission_season",2020-05-31,"20200301","misiones",1
"length_transmission_season",2020-05-31,"20200301","neembucu",1
"length_transmission_season",2020-05-31,"20200301","paraguari",1
"length_transmission_season",2020-05-31,"20200301","presidente hayes",1
"length_transmission_season",2020-05-31,"20200301","san pedro",1
"length_transmission_season",2020-06-30,"20200301","alto paraguay",1
"length_transmission_season",2020-06-30,"20200301","alto parana",1
"length_transmission_season",2020-06-30,"20200301","amambay",1
"length_transmission_season",2020-06-30,"20200301","asuncion",1
"length_transmission_season",2020-06-30,"20200301","boqueron",1
"length_transmission_season",2020-06-30,"20200301","caaguazu",1
"length_transmission_season",2020-06-30,"20200301","caazapa",1
"length_transmission_season",2020-06-30,"20200301","canindeyu",1
"length_transmission_season",2020-06-30,"20200301","central",1
"length_transmission_season",2020-06-30,"20200301","concepcion",1
"length_transmission_season",2020-06-30,"20200301","cordillera",1
"length_transmission_season",2020-06-30,"20200301","guaira",1
"length_transmission_season",2020-06-30,"20200301","itapua",1
"length_transmission_season",2020-06-30,"20200301","misiones",1
"length_transmission_season",2020-06-30,"20200301","neembucu",1
"length_transmission_season",2020-06-30,"20200301","paraguari",1
"length_transmission_season",2020-06-30,"20200301","presidente hayes",1
"length_transmission_season",2020-06-30,"20200301","san pedro",1
"length_transmission_season",2020-07-31,"20200301","alto paraguay",1
"length_transmission_season",2020-07-31,"20200301","alto parana",1
"length_transmission_season",2020-07-31,"20200301","amambay",1
"length_transmission_season",2020-07-31,"20200301","asuncion",1
"length_transmission_season",2020-07-31,"20200301","boqueron",1
"length_transmission_season",2020-07-31,"20200301","caaguazu",1
"length_transmission_season",2020-07-31,"20200301","caazapa",1
"length_transmission_season",2020-07-31,"20200301","canindeyu",1
"length_transmission_season",2020-07-31,"20200301","central",1
"length_transmission_season",2020-07-31,"20200301","concepcion",1
"length_transmission_season",2020-07-31,"20200301","cordillera",1
"length_transmission_season",2020-07-31,"20200301","guaira",1
"length_transmission_season",2020-07-31,"20200301","itapua",1
