"areaid","tsdatetime","probq75","probq95","initdate"
"alto paraguay",2021-08-31,0.0350714047619048,0.00557240476190476,"20210701"
"alto parana",2021-08-31,0.00266666666666667,1e-06,"20210701"
"amambay",2021-08-31,1e-06,1e-06,"20210701"
"asuncion",2021-08-31,1e-06,1e-06,"20210701"
"boqueron",2021-08-31,1e-06,1e-06,"20210701"
"caaguazu",2021-08-31,0.000762404761904762,1e-06,"20210701"
"caazapa",2021-08-31,7.23571428571429e-05,1e-06,"20210701"
"canindeyu",2021-08-31,0.00219047619047619,1e-06,"20210701"
"central",2021-08-31,1e-06,1e-06,"20210701"
"concepcion",2021-08-31,1e-06,1e-06,"20210701"
"cordillera",2021-08-31,1e-06,1e-06,"20210701"
"guaira",2021-08-31,0.0228105,1e-06,"20210701"
"itapua",2021-08-31,0.000286690476190476,1e-06,"20210701"
"misiones",2021-08-31,0.000571857142857143,1e-06,"20210701"
"neembucu",2021-08-31,1e-06,1e-06,"20210701"
"paraguari",2021-08-31,0.014762880952381,0.000477166666666667,"20210701"
"presidente hayes",2021-08-31,0.0238104761904762,0.0207152619047619,"20210701"
"san pedro",2021-08-31,0.000334142857142857,1e-06,"20210701"
"alto paraguay",2021-09-30,0.164357142857143,1e-06,"20210701"
"alto parana",2021-09-30,1e-06,1e-06,"20210701"
"amambay",2021-09-30,1e-06,1e-06,"20210701"
"asuncion",2021-09-30,1e-06,1e-06,"20210701"
"boqueron",2021-09-30,1e-06,1e-06,"20210701"
"caaguazu",2021-09-30,0.00169057142857143,1e-06,"20210701"
"caazapa",2021-09-30,0.00592857142857143,1e-06,"20210701"
"canindeyu",2021-09-30,0.0024525,1e-06,"20210701"
"central",2021-09-30,1e-06,1e-06,"20210701"
"concepcion",2021-09-30,1e-06,1e-06,"20210701"
"cordillera",2021-09-30,0.000429309523809524,1e-06,"20210701"
"guaira",2021-09-30,1e-06,1e-06,"20210701"
"itapua",2021-09-30,0.000167571428571429,1e-06,"20210701"
"misiones",2021-09-30,0.00169047619047619,1e-06,"20210701"
"neembucu",2021-09-30,0.001,1e-06,"20210701"
"paraguari",2021-09-30,0.0005005,1e-06,"20210701"
"presidente hayes",2021-09-30,7.23571428571429e-05,1e-06,"20210701"
"san pedro",2021-09-30,0.0177142857142857,1e-06,"20210701"
"alto paraguay",2021-10-31,1e-06,1e-06,"20210701"
"alto parana",2021-10-31,0.00769047619047619,1e-06,"20210701"
"amambay",2021-10-31,1e-06,1e-06,"20210701"
"asuncion",2021-10-31,1e-06,1e-06,"20210701"
"boqueron",2021-10-31,1e-06,1e-06,"20210701"
"caaguazu",2021-10-31,0.00880952380952381,1e-06,"20210701"
"caazapa",2021-10-31,0.0170714285714286,1e-06,"20210701"
"canindeyu",2021-10-31,2.47857142857143e-05,1e-06,"20210701"
"central",2021-10-31,1e-06,1e-06,"20210701"
"concepcion",2021-10-31,0.00719047619047619,1e-06,"20210701"
"cordillera",2021-10-31,0.00533333333333333,1e-06,"20210701"
"guaira",2021-10-31,0.00364285714285714,1e-06,"20210701"
"itapua",2021-10-31,0.00254761904761905,1e-06,"20210701"
"misiones",2021-10-31,0.00447619047619048,1e-06,"20210701"
"neembucu",2021-10-31,0.0075952380952381,1e-06,"20210701"
"paraguari",2021-10-31,0.00223809523809524,1e-06,"20210701"
"presidente hayes",2021-10-31,0.00328571428571429,1e-06,"20210701"
"san pedro",2021-10-31,0.0595,1e-06,"20210701"
"alto paraguay",2021-11-30,0.876714285714286,1e-06,"20210701"
"alto parana",2021-11-30,0.533380952380952,1e-06,"20210701"
"amambay",2021-11-30,0.185261904761905,1e-06,"20210701"
"asuncion",2021-11-30,1e-06,1e-06,"20210701"
"boqueron",2021-11-30,0.0630238095238095,1e-06,"20210701"
"caaguazu",2021-11-30,0.079,1e-06,"20210701"
"caazapa",2021-11-30,0.187952380952381,1e-06,"20210701"
"canindeyu",2021-11-30,0.00154761904761905,1e-06,"20210701"
"central",2021-11-30,1e-06,1e-06,"20210701"
"concepcion",2021-11-30,0.0681666666666667,1e-06,"20210701"
"cordillera",2021-11-30,0.035,1e-06,"20210701"
"guaira",2021-11-30,0.00976190476190476,1e-06,"20210701"
"itapua",2021-11-30,0.016,1e-06,"20210701"
"misiones",2021-11-30,0.0136428571428571,1e-06,"20210701"
"neembucu",2021-11-30,0.0219285714285714,1e-06,"20210701"
"paraguari",2021-11-30,0.0246428571428571,2.47857142857143e-05,"20210701"
"presidente hayes",2021-11-30,0.0947380952380952,1e-06,"20210701"
"san pedro",2021-11-30,0.177142857142857,1e-06,"20210701"
"alto paraguay",2021-12-31,1e-06,1e-06,"20210701"
"alto parana",2021-12-31,0.0358333333333333,1e-06,"20210701"
"amambay",2021-12-31,0.159452380952381,1e-06,"20210701"
"asuncion",2021-12-31,1e-06,1e-06,"20210701"
"boqueron",2021-12-31,0.000476785714285714,1e-06,"20210701"
